anno_domini,buddhist_era,gregorian_month,gregorian_month_day,thai_zodiac_year,week_day,thai_month,moon_phases,moon_phases_day
1856,2399,11,28,5,6,1,1,1
1856,2399,11,29,5,7,1,1,2
1856,2399,11,30,5,1,1,1,3
1856,2399,12,1,5,2,1,1,4
1856,2399,12,2,5,3,1,1,5
1856,2399,12,3,5,4,1,1,6
1856,2399,12,4,5,5,1,1,7
1856,2399,12,5,5,6,1,1,8
1856,2399,12,6,5,7,1,1,9
1856,2399,12,7,5,1,1,1,10
1856,2399,12,8,5,2,1,1,11
1856,2399,12,9,5,3,1,1,12
1856,2399,12,10,5,4,1,1,13
1856,2399,12,11,5,5,1,1,14
1856,2399,12,12,5,6,1,1,15
1856,2399,12,13,5,7,1,2,1
1856,2399,12,14,5,1,1,2,2
1856,2399,12,15,5,2,1,2,3
1856,2399,12,16,5,3,1,2,4
1856,2399,12,17,5,4,1,2,5
1856,2399,12,18,5,5,1,2,6
1856,2399,12,19,5,6,1,2,7
1856,2399,12,20,5,7,1,2,8
1856,2399,12,21,5,1,1,2,9
1856,2399,12,22,5,2,1,2,10
1856,2399,12,23,5,3,1,2,11
1856,2399,12,24,5,4,1,2,12
1856,2399,12,25,5,5,1,2,13
1856,2399,12,26,5,6,1,2,14
1856,2399,12,27,5,7,2,1,1
1856,2399,12,28,5,1,2,1,2
1856,2399,12,29,5,2,2,1,3
1856,2399,12,30,5,3,2,1,4
1856,2399,12,31,5,4,2,1,5
1857,2400,1,1,5,5,2,1,6
1857,2400,1,2,5,6,2,1,7
1857,2400,1,3,5,7,2,1,8
1857,2400,1,4,5,1,2,1,9
1857,2400,1,5,5,2,2,1,10
1857,2400,1,6,5,3,2,1,11
1857,2400,1,7,5,4,2,1,12
1857,2400,1,8,5,5,2,1,13
1857,2400,1,9,5,6,2,1,14
1857,2400,1,10,5,7,2,1,15
1857,2400,1,11,5,1,2,2,1
1857,2400,1,12,5,2,2,2,2
1857,2400,1,13,5,3,2,2,3
1857,2400,1,14,5,4,2,2,4
1857,2400,1,15,5,5,2,2,5
1857,2400,1,16,5,6,2,2,6
1857,2400,1,17,5,7,2,2,7
1857,2400,1,18,5,1,2,2,8
1857,2400,1,19,5,2,2,2,9
1857,2400,1,20,5,3,2,2,10
1857,2400,1,21,5,4,2,2,11
1857,2400,1,22,5,5,2,2,12
1857,2400,1,23,5,6,2,2,13
1857,2400,1,24,5,7,2,2,14
1857,2400,1,25,5,1,2,2,15
1857,2400,1,26,5,2,3,1,1
1857,2400,1,27,5,3,3,1,2
1857,2400,1,28,5,4,3,1,3
1857,2400,1,29,5,5,3,1,4
1857,2400,1,30,5,6,3,1,5
1857,2400,1,31,5,7,3,1,6
